vessel_name,imo_raw,imo_valid,record_count,exclude_as_dredge
Mack B,471703170,FALSE,9733,Y
Allisonk,,FALSE,5990,Y
Texas Star,311000000,FALSE,2377,Y
Allins K,,FALSE,1550,Y
Dodge Island,7917800,TRUE,1148,Y
Keeneland,,FALSE,709,Y
Ginny Lab,569,FALSE,620,Y
Kennington,9664926,TRUE,583,Y
Randy Martin,10024346,FALSE,502,Y
