imo,name_of_ship_ref,ship_type_ref,ship_type_group,dwt,tpc
1012335,OKTO,Yacht,Yacht,180,0
1012919,SHODAN,Yacht,Yacht,723,0
1013169,MSC SERENA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139647,0
1013171,MSC ELIANA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139647,0
1013183,MSC EMILIA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139647,0
1013315,MARTA COSULICH,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",7957,17.5
1013327,MARINE GINZA,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",7950,17.5
1013353,MAERSK FINISTERRE,Container Ship (Fully Cellular),Containership-Post-Panamax,76141,0
1013365,MAERSK FRIO,Container Ship (Fully Cellular),Containership-Post-Panamax,76336,0
1013377,ANTWERPEN,LPG Tanker,LPG-Large Gas Carrier,33525,0
1013389,ARLON,LPG Tanker,LPG-Large Gas Carrier,27055,0
1013391,METRO VENETIAN,Crude/Oil Products Tanker,Tanker-LR2,114934,98.5
1013432,JFE KOKURYU,Ro-Ro Cargo Ship,Ro-ro cargo <=499 LM,5026,0
1013494,SEA ENERGY,LNG Tanker,LNG-New Panamax,94800,0
1013638,SG DAWN,Bulk Carrier,Bulk Carrier-Newcastlemax,210125,0
1013640,CAPE SUZURAN,Bulk Carrier,Bulk Carrier-Capesize,182098,0
1013652,BOOTES,Bulk Carrier,Bulk Carrier-Handymax,40093,0
1013664,AFRICAN PEACOCK,Bulk Carrier,Bulk Carrier-Handymax,40093,0
1013676,AQUADONNA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63526,0
1013688,SORAL,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63771,0
1013690,TRINITY ISLAND,Bulk Carrier,Bulk Carrier-Handymax,40490,0
1013705,AFRICAN LORIKEET,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63425,0
1013717,HONG FA 199,Aggregates Carrier,Aggregates Carrier,11082,0
1013834,GAS YONGJIANG,LPG Tanker,LPG-Very Large Gas Carrier,60454,73.5
1013846,GAS MINJIANG,LPG Tanker,LPG-Very Large Gas Carrier,60322,73.5
1013901,INA DIAMOND 51,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6743,0
1013937,JEFFREYS BAY,Chemical/Products Tanker,Tanker-MR2,49999,53.6
1013949,NORD MATE,Chemical/Products Tanker,Tanker-MR2,49999,53
1013951,UM EDO,Chemical/Products Tanker,Tanker-MR2,49948,53.6
1013963,STENA CONQUEST,Chemical/Products Tanker,Tanker-MR2,49948,53.6
1013987,JAL PRERANA,Chemical/Products Tanker,Tanker-MR2,50640,53.2
1013999,JAL KAILASH,Chemical/Products Tanker,Tanker-MR2,50658,53.2
1014008,JAL KALP,Chemical/Products Tanker,Tanker-MR2,50664,53.2
1014010,JAL KAVERI,Chemical/Products Tanker,Tanker-MR2,50645,53.2
1014022,SEAEXPLORER,Chemical/Products Tanker,Tanker-MR2,50498,53.2
1014034,SEAMERIT,Chemical/Products Tanker,Tanker-MR2,50498,53.2
1014046,FARRA ROISIN,Crew/Supply Vessel,Crew/Supply Vessel,50,0
1014058,GAS KING,LPG Tanker,LPG-Very Large Gas Carrier,57447,0
1014060,EXPRESS 96,Crew/Supply Vessel,Crew/Supply Vessel,115,0
1014072,GAS QUEEN,LPG Tanker,LPG-Very Large Gas Carrier,57447,0
1014096,ISABELLA,Crude/Oil Products Tanker,Tanker-LR2,113959,99.9
1014101,SEAWISH,Crude/Oil Products Tanker,Tanker-LR2,113949,99.9
1014125,FEDERAL INFINITY,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63653,0
1014137,CHARIOTEER,Bulk Carrier,Bulk Carrier-Handymax,40101,0
1014149,SHIMANAMI ELEVEN,General Cargo Ship,"General Cargo 10,000-14,999dwt",11717,0
1014151,ISE BAY,Bulk Carrier,Bulk Carrier-Handymax,40101,0
1014163,CRIMSON SAPPHIRE,Bulk Carrier,Bulk Carrier-Handymax,40435,0
1014199,WIND CORE,General Cargo Ship,"General Cargo 10,000-14,999dwt",11722,0
1014216,KYOKUKAI MARU,Products Tanker,"Tanker-5,000-7,499dwt",5564,0
1014228,KARA,Chemical/Products Tanker,"Tanker-<=4,999dwt",4075,0
1014242,NORD NEWPORT,Bulk Carrier,Bulk Carrier-Handymax,40297,0
1014254,ARIETTA,General Cargo Ship,"General Cargo 10,000-14,999dwt",13465,0
1014280,TSUNOMINE BULKER,Bulk Carrier,Bulk Carrier-Handymax,40550,0
1014292,PAIWAN BRAVE,Bulk Carrier,Bulk Carrier-Large Handy,39793,0
1014307,PAIWAN CHAMPION,Bulk Carrier,Bulk Carrier-Large Handy,39785,0
1014319,HORIZON TRADER,Bulk Carrier,Bulk Carrier-Handymax,40598,0
1014321,YUUSEI,Powder Carrier,Powder Carrier,2282,0
1014369,OCEAN TRADER,Bulk Carrier,Bulk Carrier-Handymax,40552,0
1014371,PALADIN TRADER,Bulk Carrier,Bulk Carrier-Handymax,40546,0
1014383,VIVIAN TRADER,Bulk Carrier,Bulk Carrier-Handymax,40572,0
1014395,AVALON TRADER,Bulk Carrier,Bulk Carrier-Handymax,40569,0
1014424,BRAVE EAGLE,Bulk Carrier,Bulk Carrier-Handymax,40483,0
1014436,BRAVE HAWK,Bulk Carrier,Bulk Carrier-Handymax,40492,0
1014462,NATURE FLOWING,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63692,0
1014474,OCEAN FLOWING,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63684,0
1014527,BL IVY,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,71059,0
1014541,EL JUNIPER,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,71085,0
1014553,FL KINGWOOD,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,71059,0
1014565,SL LARCH,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,71058,0
1014577,AQUAGRACE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64678,0
1014589,AQUAGLORY,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64650,0
1014591,NEW ACACIA,Bulk Carrier,Bulk Carrier-Large Handy,39415,0
1014606,SEA GOAT,Bulk Carrier,Bulk Carrier-Handymax,40255,0
1014618,BIRD OF PARADISE,Bulk Carrier,Bulk Carrier-Handymax,40259,0
1014644,YASA SUN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63971,0
1014656,YASA MOON,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64030,0
1014668,YASA STAR,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63968,0
1014670,YASA PLUTO,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64009,0
1014785,NP EXPLORER,Crew/Supply Vessel,Crew/Supply Vessel,190,0
1014838,WARRIOR,Bulk Carrier,Bulk Carrier-Handymax,40053,0
1014840,ALLEGRA,Bulk Carrier,Bulk Carrier-Handymax,40005,0
1014864,INVICTUS,Crude Oil Tanker,Tanker-Suezmax,156906,0
1014876,IMOLA,Crude Oil Tanker,Tanker-Suezmax,156906,112.3
1014931,TAI HOMAGE,Bulk Carrier,Bulk Carrier-Large Handy,39983,0
1014955,TAI HONOR,Bulk Carrier,Bulk Carrier-Large Handy,39949,0
1014967,CARPE DIEM,Bulk Carrier,Bulk Carrier-Handymax,40455,0
1014979,LOLITA,Bulk Carrier,Bulk Carrier-Handymax,40420,0
1015014,XIN HUI HAI,Container Ship (Fully Cellular),Container-Baby post-Panamax,83202,0
1015026,JIN HANG ZHENG NENG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79997,0
1015088,NATHEA-M,Chemical/Products Tanker,"Tanker-5,000-7,499dwt",6038,14.7
1015117,PAIWAN GLORY,Bulk Carrier,Bulk Carrier-Large Handy,39632,0
1015143,ZY JUHE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63833,0
1015155,SPAR MAIA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63797,0
1015167,TAE DONG MUN 1,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8667,0
1015181,UM KISO,Chemical/Products Tanker,Tanker-MR2,49953,53.6
1015193,PUSAKA MALAKA,Chemical/Products Tanker,Tanker-MR2,49957,53.6
1015208,HAKATAJIMA SUNSHINE,Chemical/Products Tanker,Tanker-MR2,49953,53.6
1015210,STENA CONTENDER,Chemical/Products Tanker,Tanker-MR2,49953,53.1
1015222,CHITOSE,Products Tanker,"Tanker-<=4,999dwt",3196,0
1015258,PARNASSOS,Crude Oil Tanker,Tanker-VLCC,302062,0
1015313,CYTA,Bulk Carrier,Bulk Carrier-Handymax,40442,0
1015325,ANNELIESE,Bulk Carrier,Bulk Carrier-Handymax,40398,0
1015337,CENTURY ZHENGZHOU,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63743,0
1015349,CENTURY BEIJING,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63743,0
1015351,OCEAN DELIGHT,Bulk Carrier,Bulk Carrier-Large Handy,39539,0
1015363,SINAR SULAWESI,Container Ship (Fully Cellular),Containership-Regional Feeder,28663,0
1015375,SINAR SUMATERA,Container Ship (Fully Cellular),Containership-Regional Feeder,28679,0
1015399,AURORA GUARDIAN,LPG Tanker,LPG-Very Large Gas Carrier,56282,0
1015404,FU YUAN 3,Bulk Carrier,Bulk Carrier-Large Handy,32292,0
1015416,ABU YONIS,Crew/Supply Vessel,Crew/Supply Vessel,132,0
1015428,JIU HUA JU LI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79996,0
1015430,HE HAI 10,Products Tanker,"Tanker-7,500-9,999dwt",8304,0
1015442,AN FENG 05,Bulk Carrier,Bulk Carrier-Small Handy,22672,0
1015454,LAKMOS,Bulk Carrier,Bulk Carrier-Handymax,40490,0
1015466,MYTIKAS,Bulk Carrier,Bulk Carrier-Handymax,40515,0
1015478,HAI SHENG 006,Heavy Load Carrier,Heavy Load Carrier,16725,0
1015492,JIA YUE 18,Products Tanker,"Tanker-5,000-7,499dwt",5180,0
1015507,CAPRI ISLAND,Bulk Carrier,Bulk Carrier-Handymax,40525,0
1015519,MAPLE ISLAND,Bulk Carrier,Bulk Carrier-Handymax,40521,0
1015533,POM SAN 7,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5116,0
1015545,HAI DA 769,Products Tanker,"Tanker-<=4,999dwt",4550,0
1015571,ANSAC RISING SUN,Bulk Carrier,Bulk Carrier-Handymax,40519,0
1015583,ANSAC REVERENCE,Bulk Carrier,Bulk Carrier-Handymax,40524,0
1015595,KIKOU MARU,Products Tanker,"Tanker-5,000-7,499dwt",5508,0
1015600,SG SUNRISE,Bulk Carrier,Bulk Carrier-Newcastlemax,211474,0
1015612,HAWAIKI NUI 2,Ro-Ro Cargo Ship,Ro-ro cargo <=499 LM,2605,0
1015624,SG HORIZON,Bulk Carrier,Bulk Carrier-Newcastlemax,211593,0
1015636,YONG JI HAI,Bulk Carrier,Bulk Carrier-Large Handy,32360,0
1015650,RUN HUA 817,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75788,0
1015662,PEARL LEGACY,Chemical/Products Tanker,"Tanker-5,000-7,499dwt",6795,0
1015674,RS ONZA,Chemical/Products Tanker,"Tanker-5,000-7,499dwt",6771,0
1015686,PEARL LOYALE,Chemical/Products Tanker,"Tanker-5,000-7,499dwt",6788,0
1015698,PEARL LILY,Chemical/Products Tanker,"Tanker-5,000-7,499dwt",6779,0
1015703,PEARL LEGO,Chemical/Products Tanker,"Tanker-5,000-7,499dwt",6813,0
1015715,PEARL LAVENDER,Chemical/Products Tanker,"Tanker-5,000-7,499dwt",6786,0
1015727,HUA SHENG 167,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64997,0
1015739,SHI JI FENG RONG,Bulk Carrier,Bulk Carrier-Large Handy,29471,0
1015741,HSL GERALDTON,Bulk Carrier,Bulk Carrier-Handymax,40528,0
1015753,MTR JUPITER,Bulk Carrier,Bulk Carrier-Handymax,40502,0
1015765,GLOBAL FUTURE,Bulk Carrier,Bulk Carrier-Capesize,182613,0
1015818,JULIA V,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8330,0
1015820,ANASTASIA V,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8330,0
1015832,DARYA DIYA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64650,61.1
1015844,DARYA JIYA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64670,0
1015856,MO9,Crew/Supply Vessel,Crew/Supply Vessel,53,0
1015868,GEM RUBY,Chemical/Products Tanker,Tanker-MR2,49999,0
1015870,GEM SAPPHIRE,Chemical/Products Tanker,Tanker-MR2,49999,53.6
1015909,KOHZAN MARU VII,Chemical/Products Tanker,Tanker-MR2,47960,0
1015935,XIN YI BO LI 01,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5052,0
1015947,XIN YI BO LI 02,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5047,0
1015959,HMM LEAF,Container Ship (Fully Cellular),Containership-Post-Panamax,99726,0
1015961,HMM IVY,Container Ship (Fully Cellular),Containership-Post-Panamax,99726,0
1016082,GASCHEM DOLPHIN,LPG Tanker,LPG-Medium Gas Carrier,24972,0
1016109,SCARLET CYPRESS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82010,0
1016111,FRIENDSHIP DIVA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,81982,0
1016123,PROSO,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,81962,0
1016135,SINCERITY DIVA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,81992,0
1016161,ZHONG PENG YOU YI,Container Ship (Fully Cellular),Containership-Regional Feeder,29794,0
1016185,SELANGOR PARK,Chemical/Products Tanker,Tanker-Handy,19989,29.9
1016214,KEDROS,Crude/Oil Products Tanker,Tanker-LR2,113920,99.9
1016226,KASTOS,Crude/Oil Products Tanker,Tanker-LR2,113897,99.9
1016240,LYNG TRADER,Chemical/Products Tanker,Tanker-Handy,20797,0
1016264,JASMINE TRADER,Chemical/Products Tanker,Tanker-Handy,20799,0
1016276,SUN KRONOS,Chemical/Products Tanker,Tanker-Handy,12577,21.3
1016290,SAEHAN OLIVIA,Chemical/Products Tanker,Tanker-Handy,19765,29.6
1016305,MH BORGA,Chemical/Products Tanker,Tanker-Handy,19761,25.7
1016355,SONG NIM 5,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5262,0
1016472,ZY IDOL,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64675,0
1016484,STAR OCEAN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64576,0
1016496,OPAL WEALTH,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64241,0
1016501,BS HAIPHONG,Chemical/Products Tanker,Tanker-Handy,12992,0
1016513,BS ULSAN,Chemical/Products Tanker,Tanker-Handy,12986,0
1016525,BS DAESAN,Chemical/Products Tanker,Tanker-Handy,12999,0
1016563,JOANNA BORCHARD,Container Ship (Fully Cellular),Containership-Regional Feeder,17495,0
1016575,JUDITH BORCHARD,Container Ship (Fully Cellular),Containership-Regional Feeder,17499,0
1016587,RACHEL BORCHARD,Container Ship (Fully Cellular),Containership-Regional Feeder,17484,0
1016604,JIA YI 28,Refrigerated Cargo Ship,"Reefer-5,000-7,999dwt",7658,0
1016628,KAI HANG 5,Container Ship (Fully Cellular),Containership-Small Feeder,11373,0
1016654,MSC LEILA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139647,0
1016666,MSC INSA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139641,0
1016680,MSC EDNA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139394,0
1016692,MSC ADELE,Container Ship (Fully Cellular),Containership-Sub New Panamax,139436,0
1016707,MSC SAMIA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139647,0
1016719,MSC ZIVANA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139646,0
1016721,MSC MIGSAN,Container Ship (Fully Cellular),Containership-Sub New Panamax,139646,0
1016757,XIN LIN HAI 18,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8603,0
1016769,GLORIA DEL MARE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63546,0
1016795,DELMAX66,Bulk Carrier,Bulk Carrier-Supra/Ultramax,66565,0
1016812,AN SHUN YUAN,LPG Tanker,LPG-Small Gas Carrier,4627,0
1016874,CHANG DA 168,General Cargo Ship,"General Cargo 5,000-9,999 dwt",9500,0
1016927,HONG XIANG 668,Aggregates Carrier,Aggregates Carrier,6168,0
1016991,SHENG YANG 699,Aggregates Carrier,Aggregates Carrier,11467,0
1017012,XIN LIN HAI 6,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8135,0
1017048,METRO MISTRAL,Chemical/Products Tanker,Tanker-LR1,74949,0
1017050,METRO LIVAS,Chemical/Products Tanker,Tanker-LR1,74944,0
1017103,IVY COVE,LPG Tanker,LPG-Very Large Gas Carrier,66615,0
1017141,MIN HUA 8,General Cargo Ship,"General Cargo 10,000-14,999dwt",12466,0
1017153,RATU RENGGANIS,Products Tanker,"Tanker-5,000-7,499dwt",6881,0
1017189,SITC CHANGDE,Container Ship (Fully Cellular),Containership-Regional Feeder,23900,0
1017191,SITC HAODE,Container Ship (Fully Cellular),Containership-Regional Feeder,24279,0
1017206,SITC XIN,Container Ship (Fully Cellular),Containership-Regional Feeder,24290,0
1017218,SITC ZHENGDE,Container Ship (Fully Cellular),Containership-Regional Feeder,24224,0
1017220,FARRA DEIRDRE,Crew/Supply Vessel,Crew/Supply Vessel,50,0
1017232,FARRA MAEV,Crew/Supply Vessel,Crew/Supply Vessel,50,0
1017244,FARRA EITHNE,Crew/Supply Vessel,Crew/Supply Vessel,50,0
1017256,SITC JUNDE,Container Ship (Fully Cellular),Containership-Regional Feeder,24278,0
1017268,SITC RUIDE,Container Ship (Fully Cellular),Containership-Regional Feeder,24300,0
1017335,SKAWLINK V,Offshore Tug/Supply Ship,Offshore Tug/Supply Ship,208,0
1017440,TEGAS MADANI,Crew/Supply Vessel,Crew/Supply Vessel,184,0
1017476,RAWABI 213,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2103,9.1
1017488,KAYAN LPG,LPG Tanker,LPG-Small Gas Carrier,3573,0
1017543,MERCURY ISLAND,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64095,0
1017696,FAST4WARD MPF NO. C,"FPSO, Oil","FPSO, Oil",109632,0
1017713,AUSTIN TRADER,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63747,0
1017725,ORION TRADER,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63723,0
1017737,QUEEN TRADER,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63702,0
1017749,PARAGON TRADER,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63702,0
1017763,LILIAN TRADER,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63719,0
1017775,YONG SHENG 151,Bulk Carrier,Bulk Carrier-Small Handy,12490,0
1017787,MO RAN BONG 7,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5115,0
1017804,SHEN FENG ZHOU,Products Tanker,"Tanker-<=4,999dwt",4498,0
1017816,ERGUN GUNER,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5100,0
1017830,KANG FA 126,Products Tanker,"Tanker-<=4,999dwt",4990,0
1017842,DING XIN 115,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,78900,0
1017866,XIN SHUN HAI,Container Ship (Fully Cellular),Container-Baby post-Panamax,83327,0
1017878,CHENG SHAN 01,Bulk Carrier,Bulk Carrier-Supra/Ultramax,51687,0
1017880,CHANG SHENG JI 9,Container Ship (Fully Cellular),Containership-Feedermax,35788,0
1017957,QING XIANG 6,Container Ship (Fully Cellular),Containership-Regional Feeder,25725,0
1017971,HENG RUN DA 6,General Cargo Ship,"General Cargo 10,000-14,999dwt",12500,0
1017983,DAI YOU 67,Products Tanker,"Tanker-5,000-7,499dwt",6546,0
1018016,DESERT LEOPARD,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63569,0
1018028,HST MILLIE,Crew/Supply Vessel,Crew/Supply Vessel,120,0
1018030,DESERT LION,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63623,0
1018078,DESERT PUMA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63654,0
1018080,WINNING LCT 1,General Cargo Ship,"General Cargo 5,000-9,999 dwt",9535,0
1018092,ALONDRA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63558,0
1018107,ANTHIA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63616,0
1018121,SSI PRIVILEGE II,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63651,0
1018133,SSI DARING II,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63643,61.7
1018145,INTERASIA TENACITY,Container Ship (Fully Cellular),Container-Baby post-Panamax,37160,0
1018157,INTERASIA TRIBUTE,Container Ship (Fully Cellular),Container-Baby post-Panamax,37160,0
1018169,INTERASIA TRIUMPH,Container Ship (Fully Cellular),Container-Baby post-Panamax,37160,0
1018171,INTERASIA TACTIC,Container Ship (Fully Cellular),Container-Baby post-Panamax,37160,0
1018183,ZY NINGBO,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63789,0
1018236,ZY KUNSHAN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63748,0
1018248,AGIA FEVRONIA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63801,0
1018250,ADNOC C05,Crew/Supply Vessel,Crew/Supply Vessel,180,0
1018262,ADNOC C06,Crew/Supply Vessel,Crew/Supply Vessel,182,0
1018274,CENTUS SOFFIA,Crew/Supply Vessel,Crew/Supply Vessel,187,0
1018286,CENTUS ALESHA,Crew/Supply Vessel,Crew/Supply Vessel,186,0
1018298,CENTUS ALIYA,Crew/Supply Vessel,Crew/Supply Vessel,190,0
1018303,AESEN 107,Crew/Supply Vessel,Crew/Supply Vessel,198,0
1018315,AMARCO S1,Crew/Supply Vessel,Crew/Supply Vessel,190,0
1018327,TMS CHANA,Crew/Supply Vessel,Crew/Supply Vessel,168,0
1018339,TMS TAH MUANG,Crew/Supply Vessel,Crew/Supply Vessel,190,0
1018341,AESEN 108,Crew/Supply Vessel,Crew/Supply Vessel,190,0
1018353,LTS-CB-03,Crew/Supply Vessel,Crew/Supply Vessel,190,0
1018365,LTS-CB-04,Crew/Supply Vessel,Crew/Supply Vessel,190,0
1018377,AICC HUANGHU,Vehicles Carrier,"PCC/PCTC => 4,000 cars",18773,0
1018389,AICC KUNPENG,Vehicles Carrier,"PCC/PCTC => 4,000 cars",18885,0
1018391,AICC FENGHUANG,Vehicles Carrier,"PCC/PCTC => 4,000 cars",18878,0
1018470,GREEN ENDEAVOUR,LPG Tanker,LPG-Large Gas Carrier,32729,50.9
1018482,GREEN ETERNITY,LPG Tanker,LPG-Large Gas Carrier,32729,50.9
1018494,GREEN ENDURANCE,LPG Tanker,LPG-Large Gas Carrier,32729,50.9
1018509,GREEN EXCELLENCE,LPG Tanker,LPG-Large Gas Carrier,32729,50.9
1018523,HUA ZHENG HAI GANG,General Cargo Ship,"General Cargo 15,000-19,999dwt",17300,0
1018547,XING DONG 88,Container Ship (Fully Cellular),Containership-Regional Feeder,24597,0
1018573,XH ALOT,Bulk Carrier,Bulk Carrier-Newcastlemax,211248,0
1018585,XH ATOP,Bulk Carrier,Bulk Carrier-Newcastlemax,211299,0
1018676,CELSIUS GEORGETOWN,LNG Tanker,LNG-New Panamax,97552,122.6
1018688,CELSIUS GOA,LNG Tanker,LNG-New Panamax,97703,0
1018755,SEA LYRA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82276,0
1018767,SEA LYNX,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82182,0
1018779,SEA LIBRA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82301,0
1018781,SEA LEO,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82266,0
1018808,YON BONG,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5275,0
1018846,LETTIE PG,Chemical/Products Tanker,Tanker-Handy,10810,24.8
1018858,AGNES PG,Chemical/Products Tanker,Tanker-Handy,10795,22.2
1018860,GOLDEN SUN,Chemical/Products Tanker,Tanker-MR2,49988,53.5
1018872,SILVER MOON,Chemical/Products Tanker,Tanker-MR2,49986,53.5
1018949,KODKOD,Chemical/Products Tanker,Tanker-MR2,49999,53.6
1018951,NORD VENTO,Chemical/Products Tanker,Tanker-MR2,49999,53.6
1018987,ZHOU SHUN 7,General Cargo Ship,"General Cargo 15,000-19,999dwt",16008,0
1019046,DLT FORTUNE,General Cargo Ship,"General Cargo 15,000-19,999dwt",17476,0
1019058,HUA YUN TONG YUAN,Chemical/Products Tanker,"Tanker-5,000-7,499dwt",6300,0
1019101,ANBIEN SKY,Container Ship (Fully Cellular),Containership-Regional Feeder,24454,0
1019113,HAIAN OPUS,Container Ship (Fully Cellular),Containership-Regional Feeder,24432,0
1019137,GAS HOPE,LPG Tanker,LPG-Small Gas Carrier,6711,19.6
1019149,GAS INFINITY,LPG Tanker,LPG-Small Gas Carrier,6718,19.6
1019175,KAKO,Container Ship (Fully Cellular),Containership-Regional Feeder,11634,0
1019307,SEACON NAGOYA,General Cargo Ship,"General Cargo 10,000-14,999dwt",13504,0
1019321,RAWABI 209,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2069,0
1019333,WINDEA INTREPID,Crew/Supply Vessel,Crew/Supply Vessel,76,0
1019369,RAWABI 210,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2070,0
1019371,RAWABI 214,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2062,0
1019383,RAWABI 505,Offshore Support Vessel,Offshore Support Vessel,4912,0
1019395,SAMUDERA MAKMUR 06,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5016,0
1019462,MINERAL CESKO,Bulk Carrier,Bulk Carrier-Newcastlemax,210784,0
1019474,MINERAL SLOVENIJA,Bulk Carrier,Bulk Carrier-Newcastlemax,210000,0
1019527,STELLAR STREAM-7,Products Tanker,"Tanker-<=4,999dwt",3602,0
1019539,HIMALAYASAN,Crude Oil Tanker,Tanker-VLCC,310026,190
1019553,KANG SHUN HUI HUANG,General Cargo Ship,"General Cargo 10,000-14,999dwt",14916,0
1019591,MARIETTA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63875,0
1019606,MARINICKI,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63600,0
1019709,MOUNT ANJIN,Bulk Carrier,Bulk Carrier-Newcastlemax,211981,0
1019711,MOUNT YOTEI,Bulk Carrier,Bulk Carrier-Newcastlemax,211928,0
1019735,NEW ACE,Crude Oil Tanker,Tanker-Aframax,114800,0
1019747,NEW AMBER,Crude Oil Tanker,Tanker-Aframax,114803,100.3
1019759,GOLDEN VALLEY,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5090,0
1019761,ATHENS C,Chemical/Products Tanker,Tanker-MR2,50171,52
1019773,AEGEAN C,Chemical/Products Tanker,Tanker-MR2,50159,52
1019785,YM WILLPOWER,Container Ship (Fully Cellular),Containership-New Panamax,159373,0
1019797,YM WORTHINESS,Container Ship (Fully Cellular),Containership-New Panamax,159374,0
1019802,YM WAYFINDER,Container Ship (Fully Cellular),Containership-New Panamax,159374,0
1019814,YM WEIGHT,Container Ship (Fully Cellular),Containership-New Panamax,159654,0
1019826,YM WAVERIDER,Container Ship (Fully Cellular),Containership-New Panamax,159654,0
1019840,XH DEEP COVER,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,83070,0
1019852,XH SQUARE LEG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,83055,0
