carrier_name,name_normalized,cert_date,reason,line_count,metric_ton_total,candidate_pool_size,fgis_record_id,ambiguous_vessel_keys,resolved_vessel_key,reviewer_note
LOUISIANA MAMA,LOUISIANAMAMA,2018-03-13,unmatched_outside_coverage,2,48976.0,0,UNMATCHED-LOUISIANAMAMA-20180313,,,
MARTIN ISLAND,MARTINISLAND,2018-03-13,unmatched_outside_coverage,1,4650.0,0,UNMATCHED-MARTINISLAND-20180313,,,
SHRIKE,SHRIKE,2018-03-13,unmatched_outside_coverage,1,26565.0,0,UNMATCHED-SHRIKE-20180313,,,
TAI SPLENDOR,TAISPLENDOR,2018-03-13,unmatched_outside_coverage,1,58590.0,0,UNMATCHED-TAISPLENDOR-20180313,,,
ZHI XIANG,ZHIXIANG,2018-03-13,unmatched_outside_coverage,1,69099.0,0,UNMATCHED-ZHIXIANG-20180313,,,
ELSA,ELSA,2018-03-14,unmatched_outside_coverage,1,49000.0,0,UNMATCHED-ELSA-20180314,,,
MARTIN ISLAND,MARTINISLAND,2018-03-14,unmatched_outside_coverage,2,14370.0,0,UNMATCHED-MARTINISLAND-20180314,,,
AEOLOS,AEOLOS,2018-03-15,unmatched_outside_coverage,1,28479.0,0,UNMATCHED-AEOLOS-20180315,,,
ANSAC AMITY,ANSACAMITY,2018-03-15,unmatched_outside_coverage,1,22286.0,0,UNMATCHED-ANSACAMITY-20180315,,,
LILA II,LILAII,2018-03-15,unmatched_outside_coverage,1,23226.0,0,UNMATCHED-LILAII-20180315,,,
NORTHERN CONFIDENCE,NORTHERNCONFIDENCE,2018-03-15,unmatched_outside_coverage,1,27500.0,0,UNMATCHED-NORTHERNCONFIDENCE-20180315,,,
SCARLET ROBIN,SCARLETROBIN,2018-03-15,unmatched_outside_coverage,1,70257.0,0,UNMATCHED-SCARLETROBIN-20180315,,,
UBC BALBOA,UBCBALBOA,2018-03-15,unmatched_outside_coverage,2,20951.0,0,UNMATCHED-UBCBALBOA-20180315,,,
GENCO HUNTER,GENCOHUNTER,2018-03-16,unmatched_outside_coverage,1,10732.0,0,UNMATCHED-GENCOHUNTER-20180316,,,
GRAND BREAKER,GRANDBREAKER,2018-03-16,unmatched_outside_coverage,2,52568.0,0,UNMATCHED-GRANDBREAKER-20180316,,,
SBI APOLLO,SBIAPOLLO,2018-03-16,unmatched_outside_coverage,1,58524.0,0,UNMATCHED-SBIAPOLLO-20180316,,,
V UNO,VUNO,2018-03-16,unmatched_outside_coverage,1,36001.0,0,UNMATCHED-VUNO-20180316,,,
ASIA PEARL V,ASIAPEARLV,2018-03-17,unmatched_outside_coverage,1,30000.0,0,UNMATCHED-ASIAPEARLV-20180317,,,
GENCO HUNTER,GENCOHUNTER,2018-03-17,unmatched_outside_coverage,1,40346.0,0,UNMATCHED-GENCOHUNTER-20180317,,,
ROMANDIE,ROMANDIE,2018-03-17,unmatched_outside_coverage,1,31285.0,0,UNMATCHED-ROMANDIE-20180317,,,
AFRICAN SETO,AFRICANSETO,2018-03-18,unmatched_outside_coverage,1,54999.0,0,UNMATCHED-AFRICANSETO-20180318,,,
ALKYON,ALKYON,2018-03-18,unmatched_outside_coverage,1,26396.0,0,UNMATCHED-ALKYON-20180318,,,
ARIZONA,ARIZONA,2018-03-18,unmatched_outside_coverage,1,5167.0,0,UNMATCHED-ARIZONA-20180318,,,
HARVEST FROST,HARVESTFROST,2018-03-18,unmatched_outside_coverage,1,39460.0,0,UNMATCHED-HARVESTFROST-20180318,,,
MAMRY,MAMRY,2018-03-18,unmatched_outside_coverage,1,10738.0,0,UNMATCHED-MAMRY-20180318,,,
ATLANTIC FAIRY,ATLANTICFAIRY,2018-03-19,unmatched_outside_coverage,1,18387.0,0,UNMATCHED-ATLANTICFAIRY-20180319,,,
SPAR ARIES,SPARARIES,2018-03-19,unmatched_outside_coverage,1,57017.0,0,UNMATCHED-SPARARIES-20180319,,,
TEQUILA SUNRISE,TEQUILASUNRISE,2018-03-19,unmatched_outside_coverage,2,30043.0,0,UNMATCHED-TEQUILASUNRISE-20180319,,,
ARIZONA,ARIZONA,2018-03-20,unmatched_outside_coverage,1,20898.0,0,UNMATCHED-ARIZONA-20180320,,,
SAGE COLORADO,SAGECOLORADO,2018-03-20,unmatched_outside_coverage,2,51352.0,0,UNMATCHED-SAGECOLORADO-20180320,,,
WARRIOR,WARRIOR,2018-03-20,unmatched_outside_coverage,1,48044.0,0,UNMATCHED-WARRIOR-20180320,,,
WHITE HAWK,WHITEHAWK,2018-03-20,unmatched_outside_coverage,1,57161.0,0,UNMATCHED-WHITEHAWK-20180320,,,
ARGO B,ARGOB,2018-03-21,unmatched_outside_coverage,1,29996.0,0,UNMATCHED-ARGOB-20180321,,,
GREEN CAPE,GREENCAPE,2018-03-21,unmatched_outside_coverage,1,7733.0,0,UNMATCHED-GREENCAPE-20180321,,,
INTERLINK AUDACITY,INTERLINKAUDACITY,2018-03-21,unmatched_outside_coverage,3,16937.0,0,UNMATCHED-INTERLINKAUDACITY-20180321,,,
OCEAN VISION,OCEANVISION,2018-03-21,unmatched_outside_coverage,1,62032.0,0,UNMATCHED-OCEANVISION-20180321,,,
PAC ACRUX,PACACRUX,2018-03-21,unmatched_outside_coverage,1,24997.0,0,UNMATCHED-PACACRUX-20180321,,,
UBC TAMPICO,UBCTAMPICO,2018-03-21,unmatched_outside_coverage,1,32997.0,0,UNMATCHED-UBCTAMPICO-20180321,,,
ALAM MANIS,ALAMMANIS,2018-03-22,unmatched_outside_coverage,1,27330.0,0,UNMATCHED-ALAMMANIS-20180322,,,
ANGELE N,ANGELEN,2018-03-22,unmatched_outside_coverage,1,53344.0,0,UNMATCHED-ANGELEN-20180322,,,
ANSAC PRIDE,ANSACPRIDE,2018-03-22,unmatched_outside_coverage,1,22887.0,0,UNMATCHED-ANSACPRIDE-20180322,,,
BALSA 87,BALSA87,2018-03-22,unmatched_outside_coverage,1,7171.0,0,UNMATCHED-BALSA87-20180322,,,
CHARMEY,CHARMEY,2018-03-22,unmatched_outside_coverage,2,17600.0,0,UNMATCHED-CHARMEY-20180322,,,
SUNLEAF STAR,SUNLEAFSTAR,2018-03-22,unmatched_outside_coverage,3,46514.0,0,UNMATCHED-SUNLEAFSTAR-20180322,,,
UBC TILBURY,UBCTILBURY,2018-03-22,unmatched_outside_coverage,1,25794.0,0,UNMATCHED-UBCTILBURY-20180322,,,
ALAM MANIS,ALAMMANIS,2018-03-23,unmatched_outside_coverage,2,21662.0,0,UNMATCHED-ALAMMANIS-20180323,,,
GRAND CONCORD,GRANDCONCORD,2018-03-23,unmatched_outside_coverage,1,5309.0,0,UNMATCHED-GRANDCONCORD-20180323,,,
QUEENA,QUEENA,2018-03-23,unmatched_outside_coverage,1,70243.0,0,UNMATCHED-QUEENA-20180323,,,
SMART LISA,SMARTLISA,2018-03-23,unmatched_outside_coverage,1,33000.0,0,UNMATCHED-SMARTLISA-20180323,,,
ATLANTIC PROGRESS,ATLANTICPROGRESS,2018-03-24,unmatched_outside_coverage,1,23098.0,0,UNMATCHED-ATLANTICPROGRESS-20180324,,,
GRAND CONCORD,GRANDCONCORD,2018-03-24,unmatched_outside_coverage,3,47025.0,0,UNMATCHED-GRANDCONCORD-20180324,,,
HANZE GDANSK,HANZEGDANSK,2018-03-24,unmatched_outside_coverage,1,31696.0,0,UNMATCHED-HANZEGDANSK-20180324,,,
INA,INA,2018-03-24,unmatched_outside_coverage,1,850.0,0,UNMATCHED-INA-20180324,,,
NORD SINCERE,NORDSINCERE,2018-03-24,unmatched_outside_coverage,1,12735.0,0,UNMATCHED-NORDSINCERE-20180324,,,
UBC SYDNEY,UBCSYDNEY,2018-03-24,unmatched_outside_coverage,1,17000.0,0,UNMATCHED-UBCSYDNEY-20180324,,,
AFRICAN LEOPARD,AFRICANLEOPARD,2018-03-25,unmatched_outside_coverage,1,51160.0,0,UNMATCHED-AFRICANLEOPARD-20180325,,,
INA,INA,2018-03-25,unmatched_outside_coverage,3,14896.0,0,UNMATCHED-INA-20180325,,,
SAROCHA NAREE,SAROCHANAREE,2018-03-25,unmatched_outside_coverage,1,51699.0,0,UNMATCHED-SAROCHANAREE-20180325,,,
AFRICAN JOSEPH R,AFRICANJOSEPHR,2018-03-26,unmatched_outside_coverage,2,10048.0,0,UNMATCHED-AFRICANJOSEPHR-20180326,,,
AKILI PERROTIS,AKILIPERROTIS,2018-03-26,unmatched_outside_coverage,1,54997.0,0,UNMATCHED-AKILIPERROTIS-20180326,,,
DARYA JYOTI,DARYAJYOTI,2018-03-26,unmatched_outside_coverage,1,68304.0,0,UNMATCHED-DARYAJYOTI-20180326,,,
EOS VICTORY,EOSVICTORY,2018-03-26,unmatched_outside_coverage,1,5533.0,0,UNMATCHED-EOSVICTORY-20180326,,,
AFRICAN JOSEPH R,AFRICANJOSEPHR,2018-03-27,unmatched_outside_coverage,1,7264.0,0,UNMATCHED-AFRICANJOSEPHR-20180327,,,
GOLDEN EAGLE,GOLDENEAGLE,2018-03-27,unmatched_outside_coverage,1,4000.0,0,UNMATCHED-GOLDENEAGLE-20180327,,,
KYZIKOS,KYZIKOS,2018-03-27,unmatched_outside_coverage,2,77368.0,0,UNMATCHED-KYZIKOS-20180327,,,
TSL ROSEMARY,TSLROSEMARY,2018-03-27,unmatched_outside_coverage,2,30574.0,0,UNMATCHED-TSLROSEMARY-20180327,,,
ARDENNES,ARDENNES,2018-03-28,unmatched_outside_coverage,1,31829.0,0,UNMATCHED-ARDENNES-20180328,,,
BELGRANO,BELGRANO,2018-03-28,unmatched_outside_coverage,1,10504.0,0,UNMATCHED-BELGRANO-20180328,,,
CLIPPER TARGET,CLIPPERTARGET,2018-03-28,unmatched_outside_coverage,1,29264.0,0,UNMATCHED-CLIPPERTARGET-20180328,,,
EUROPA BAY,EUROPABAY,2018-03-28,unmatched_outside_coverage,1,4072.0,0,UNMATCHED-EUROPABAY-20180328,,,
GOLDEN EAGLE,GOLDENEAGLE,2018-03-28,unmatched_outside_coverage,1,20600.0,0,UNMATCHED-GOLDENEAGLE-20180328,,,
NORDIC ALIANCA,NORDICALIANCA,2018-03-28,unmatched_outside_coverage,1,31168.0,0,UNMATCHED-NORDICALIANCA-20180328,,,
SEADUTY,SEADUTY,2018-03-28,unmatched_outside_coverage,1,70184.0,0,UNMATCHED-SEADUTY-20180328,,,
TIWAI POINT,TIWAIPOINT,2018-03-28,unmatched_outside_coverage,1,29460.0,0,UNMATCHED-TIWAIPOINT-20180328,,,
ELVIA,ELVIA,2018-03-29,unmatched_outside_coverage,1,76304.0,0,UNMATCHED-ELVIA-20180329,,,
BACCO,BACCO,2018-03-30,unmatched_outside_coverage,1,61109.0,0,UNMATCHED-BACCO-20180330,,,
EOS VICTORY,EOSVICTORY,2018-03-30,unmatched_outside_coverage,1,26267.0,0,UNMATCHED-EOSVICTORY-20180330,,,
EUROPA BAY,EUROPABAY,2018-03-30,unmatched_outside_coverage,3,26363.0,0,UNMATCHED-EUROPABAY-20180330,,,
GOLDEN EAGLE,GOLDENEAGLE,2018-03-30,unmatched_outside_coverage,2,8015.0,0,UNMATCHED-GOLDENEAGLE-20180330,,,
NORD SEAL,NORDSEAL,2018-03-30,unmatched_outside_coverage,2,32730.0,0,UNMATCHED-NORDSEAL-20180330,,,
PACIFIC NEXUS,PACIFICNEXUS,2018-03-30,unmatched_outside_coverage,1,4500.0,0,UNMATCHED-PACIFICNEXUS-20180330,,,
SOUTHEND,SOUTHEND,2018-03-30,unmatched_outside_coverage,1,26655.0,0,UNMATCHED-SOUTHEND-20180330,,,
AFRICAN CHEETAH,AFRICANCHEETAH,2018-03-31,unmatched_outside_coverage,1,61481.0,0,UNMATCHED-AFRICANCHEETAH-20180331,,,
AKRA,AKRA,2018-03-31,unmatched_outside_coverage,1,11000.0,0,UNMATCHED-AKRA-20180331,,,
BAHRI BULK,BAHRIBULK,2018-03-31,unmatched_outside_coverage,1,69727.0,0,UNMATCHED-BAHRIBULK-20180331,,,
EUROPA BAY,EUROPABAY,2018-03-31,unmatched_outside_coverage,1,20847.0,0,UNMATCHED-EUROPABAY-20180331,,,
GLOBAL GENESIS,GLOBALGENESIS,2018-03-31,unmatched_outside_coverage,1,34424.0,0,UNMATCHED-GLOBALGENESIS-20180331,,,
OCEAN GALAXY,OCEANGALAXY,2018-03-31,unmatched_outside_coverage,2,21398.0,0,UNMATCHED-OCEANGALAXY-20180331,,,
PACIFIC NEXUS,PACIFICNEXUS,2018-03-31,unmatched_outside_coverage,3,36477.0,0,UNMATCHED-PACIFICNEXUS-20180331,,,
SBI LIBRA,SBILIBRA,2018-03-31,unmatched_outside_coverage,1,10226.0,0,UNMATCHED-SBILIBRA-20180331,,,
SOUTHEND,SOUTHEND,2018-03-31,unmatched_outside_coverage,1,6300.0,0,UNMATCHED-SOUTHEND-20180331,,,
AKRA,AKRA,2018-04-01,unmatched_outside_coverage,1,44002.0,0,UNMATCHED-AKRA-20180401,,,
CHARADE,CHARADE,2018-04-01,unmatched_outside_coverage,4,15488.0,0,UNMATCHED-CHARADE-20180401,,,
CIELO DI CARTAGENA,CIELODICARTAGENA,2018-04-01,unmatched_outside_coverage,1,30000.0,0,UNMATCHED-CIELODICARTAGENA-20180401,,,
CLIPPER VALOUR,CLIPPERVALOUR,2018-04-01,unmatched_outside_coverage,3,20959.0,0,UNMATCHED-CLIPPERVALOUR-20180401,,,
SBI LIBRA,SBILIBRA,2018-04-01,unmatched_outside_coverage,1,42687.0,0,UNMATCHED-SBILIBRA-20180401,,,
UBC TARRAGONA,UBCTARRAGONA,2018-04-01,unmatched_outside_coverage,3,22297.0,0,UNMATCHED-UBCTARRAGONA-20180401,,,
BRIDGEGATE,BRIDGEGATE,2018-04-02,unmatched_outside_coverage,1,19627.0,0,UNMATCHED-BRIDGEGATE-20180402,,,
CHARADE,CHARADE,2018-04-02,unmatched_outside_coverage,3,35276.0,0,UNMATCHED-CHARADE-20180402,,,
CLIPPER SELO,CLIPPERSELO,2018-04-02,unmatched_outside_coverage,1,29410.0,0,UNMATCHED-CLIPPERSELO-20180402,,,
NORD CAPELLA,NORDCAPELLA,2018-04-02,unmatched_outside_coverage,1,70931.0,0,UNMATCHED-NORDCAPELLA-20180402,,,
TAI SPRING,TAISPRING,2018-04-02,unmatched_outside_coverage,3,51815.0,0,UNMATCHED-TAISPRING-20180402,,,
UBC TARRAGONA,UBCTARRAGONA,2018-04-02,unmatched_outside_coverage,1,7295.0,0,UNMATCHED-UBCTARRAGONA-20180402,,,
ADMIRALTY SPIRIT,ADMIRALTYSPIRIT,2018-04-03,unmatched_outside_coverage,1,27482.0,0,UNMATCHED-ADMIRALTYSPIRIT-20180403,,,
BRIDGEGATE,BRIDGEGATE,2018-04-03,unmatched_outside_coverage,1,29118.0,0,UNMATCHED-BRIDGEGATE-20180403,,,
CIELO DI MONACO,CIELODIMONACO,2018-04-03,unmatched_outside_coverage,1,33000.0,0,UNMATCHED-CIELODIMONACO-20180403,,,
MBA LIBERTY,MBALIBERTY,2018-04-03,unmatched_outside_coverage,1,70886.0,0,UNMATCHED-MBALIBERTY-20180403,,,
OCEAN OPAL,OCEANOPAL,2018-04-03,unmatched_outside_coverage,2,33136.0,0,UNMATCHED-OCEANOPAL-20180403,,,
SUMMIT,SUMMIT,2018-04-03,unmatched_outside_coverage,1,35149.0,0,UNMATCHED-SUMMIT-20180403,,,
ISADORA,ISADORA,2018-04-04,unmatched_outside_coverage,1,19448.0,0,UNMATCHED-ISADORA-20180404,,,
NEW LEADER,NEWLEADER,2018-04-04,unmatched_outside_coverage,1,28999.0,0,UNMATCHED-NEWLEADER-20180404,,,
OCEAN GOLD,OCEANGOLD,2018-04-04,unmatched_outside_coverage,1,18734.0,0,UNMATCHED-OCEANGOLD-20180404,,,
ORIOLE,ORIOLE,2018-04-04,unmatched_outside_coverage,1,33000.0,0,UNMATCHED-ORIOLE-20180404,,,
ATLANTIC RUBY,ATLANTICRUBY,2018-04-05,unmatched_outside_coverage,1,18291.0,0,UNMATCHED-ATLANTICRUBY-20180405,,,
KINATSI,KINATSI,2018-04-05,unmatched_outside_coverage,1,16500.0,0,UNMATCHED-KINATSI-20180405,,,
ORION BAY,ORIONBAY,2018-04-05,unmatched_outside_coverage,1,28251.0,0,UNMATCHED-ORIONBAY-20180405,,,
REGALICA,REGALICA,2018-04-05,unmatched_outside_coverage,2,8869.0,0,UNMATCHED-REGALICA-20180405,,,
SAN ANTONIO,SANANTONIO,2018-04-05,unmatched_outside_coverage,1,1636.0,0,UNMATCHED-SANANTONIO-20180405,,,
S BRONCO,SBRONCO,2018-04-05,unmatched_outside_coverage,1,1500.0,0,UNMATCHED-SBRONCO-20180405,,,
SEA BREEZE,SEABREEZE,2018-04-05,unmatched_outside_coverage,1,33750.0,0,UNMATCHED-SEABREEZE-20180405,,,
TAI PROSPERITY,TAIPROSPERITY,2018-04-05,unmatched_outside_coverage,2,53667.0,0,UNMATCHED-TAIPROSPERITY-20180405,,,
ULTRA CALBUCO,ULTRACALBUCO,2018-04-05,unmatched_outside_coverage,1,28599.0,0,UNMATCHED-ULTRACALBUCO-20180405,,,
BIOGRAD,BIOGRAD,2018-04-06,unmatched_outside_coverage,1,1889.0,0,UNMATCHED-BIOGRAD-20180406,,,
CALYPSO GR,CALYPSOGR,2018-04-06,unmatched_outside_coverage,1,11001.0,0,UNMATCHED-CALYPSOGR-20180406,,,
SAN ANTONIO,SANANTONIO,2018-04-06,unmatched_outside_coverage,3,47039.0,0,UNMATCHED-SANANTONIO-20180406,,,
S BRONCO,SBRONCO,2018-04-06,unmatched_outside_coverage,2,15653.0,0,UNMATCHED-SBRONCO-20180406,,,
TRANS FRIENDSHIP II,TRANSFRIENDSHIPII,2018-04-06,unmatched_outside_coverage,2,24313.0,0,UNMATCHED-TRANSFRIENDSHIPII-20180406,,,
UBC TOKYO,UBCTOKYO,2018-04-06,unmatched_outside_coverage,1,25300.0,0,UNMATCHED-UBCTOKYO-20180406,,,
AEOLOS,AEOLOS,2018-04-07,unmatched_outside_coverage,1,30823.0,0,UNMATCHED-AEOLOS-20180407,,,
BALSA 85,BALSA85,2018-04-07,unmatched_outside_coverage,1,7156.0,0,UNMATCHED-BALSA85-20180407,,,
BIOGRAD,BIOGRAD,2018-04-07,unmatched_outside_coverage,2,28267.0,0,UNMATCHED-BIOGRAD-20180407,,,
CALYPSO GR,CALYPSOGR,2018-04-07,unmatched_outside_coverage,1,10220.0,0,UNMATCHED-CALYPSOGR-20180407,,,
NERAIDA,NERAIDA,2018-04-07,unmatched_outside_coverage,1,10976.0,0,UNMATCHED-NERAIDA-20180407,,,
SOHO MERCHANT,SOHOMERCHANT,2018-04-07,unmatched_outside_coverage,1,56429.0,0,UNMATCHED-SOHOMERCHANT-20180407,,,
TRANS FRIENDSHIP II,TRANSFRIENDSHIPII,2018-04-07,unmatched_outside_coverage,1,5775.0,0,UNMATCHED-TRANSFRIENDSHIPII-20180407,,,
LESEDI QUEEN,LESEDIQUEEN,2018-04-08,unmatched_outside_coverage,1,3003.0,0,UNMATCHED-LESEDIQUEEN-20180408,,,
NERAIDA,NERAIDA,2018-04-08,unmatched_outside_coverage,1,41744.0,0,UNMATCHED-NERAIDA-20180408,,,
SBI THALIA,SBITHALIA,2018-04-08,unmatched_outside_coverage,2,47818.0,0,UNMATCHED-SBITHALIA-20180408,,,
S BRONCO,SBRONCO,2018-04-08,unmatched_outside_coverage,2,12180.0,0,UNMATCHED-SBRONCO-20180408,,,
UBC TORONTO,UBCTORONTO,2018-04-08,unmatched_outside_coverage,1,30367.0,0,UNMATCHED-UBCTORONTO-20180408,,,
WESTGATE,WESTGATE,2018-04-08,unmatched_outside_coverage,1,21939.0,0,UNMATCHED-WESTGATE-20180408,,,
WHISTLER,WHISTLER,2018-04-08,unmatched_outside_coverage,1,8800.0,0,UNMATCHED-WHISTLER-20180408,,,
DEVON BAY,DEVONBAY,2018-04-09,unmatched_outside_coverage,3,49575.0,0,UNMATCHED-DEVONBAY-20180409,,,
GENCO MUSE,GENCOMUSE,2018-04-09,unmatched_outside_coverage,1,30062.0,0,UNMATCHED-GENCOMUSE-20180409,,,
HOKKAIDO BULKER,HOKKAIDOBULKER,2018-04-09,unmatched_outside_coverage,2,30233.0,0,UNMATCHED-HOKKAIDOBULKER-20180409,,,
LESEDI QUEEN,LESEDIQUEEN,2018-04-09,unmatched_outside_coverage,2,35107.0,0,UNMATCHED-LESEDIQUEEN-20180409,,,
SEASTAR TITAN,SEASTARTITAN,2018-04-09,unmatched_outside_coverage,1,27499.0,0,UNMATCHED-SEASTARTITAN-20180409,,,
SOCRATIS,SOCRATIS,2018-04-09,unmatched_outside_coverage,1,53925.0,0,UNMATCHED-SOCRATIS-20180409,,,
WHISTLER,WHISTLER,2018-04-09,unmatched_outside_coverage,1,4187.0,0,UNMATCHED-WHISTLER-20180409,,,
CMB PAULE,CMBPAULE,2018-04-10,unmatched_outside_coverage,1,20416.0,0,UNMATCHED-CMBPAULE-20180410,,,
GENCO MUSE,GENCOMUSE,2018-04-10,unmatched_outside_coverage,1,16499.0,0,UNMATCHED-GENCOMUSE-20180410,,,
GLOBAL ANDES,GLOBALANDES,2018-04-10,unmatched_outside_coverage,2,46049.0,0,UNMATCHED-GLOBALANDES-20180410,,,
TRITON WIND I,TRITONWINDI,2018-04-10,unmatched_outside_coverage,1,26801.0,0,UNMATCHED-TRITONWINDI-20180410,,,
CRYSTAL CONFIDENCE,CRYSTALCONFIDENCE,2018-04-11,unmatched_outside_coverage,1,26118.0,0,UNMATCHED-CRYSTALCONFIDENCE-20180411,,,
GENCO ARDENNES,GENCOARDENNES,2018-04-11,unmatched_outside_coverage,2,38974.0,0,UNMATCHED-GENCOARDENNES-20180411,,,
LOWLANDS HOPE,LOWLANDSHOPE,2018-04-11,unmatched_outside_coverage,1,55099.0,0,UNMATCHED-LOWLANDSHOPE-20180411,,,
SANTA FRANCESCA,SANTAFRANCESCA,2018-04-11,unmatched_outside_coverage,1,54996.0,0,UNMATCHED-SANTAFRANCESCA-20180411,,,
SINOP,SINOP,2018-04-11,unmatched_outside_coverage,1,54999.0,0,UNMATCHED-SINOP-20180411,,,
AMIS JUSTICE,AMISJUSTICE,2018-04-12,unmatched_outside_coverage,2,18519.0,0,UNMATCHED-AMISJUSTICE-20180412,,,
ANGLO BARINTHUS,ANGLOBARINTHUS,2018-04-12,unmatched_outside_coverage,1,65069.0,0,UNMATCHED-ANGLOBARINTHUS-20180412,,,
GENCO EXPLORER,GENCOEXPLORER,2018-04-12,unmatched_outside_coverage,1,21919.0,0,UNMATCHED-GENCOEXPLORER-20180412,,,
STAR ATHENA,STARATHENA,2018-04-12,unmatched_outside_coverage,1,49172.0,0,UNMATCHED-STARATHENA-20180412,,,
UNION GROOVE,UNIONGROOVE,2018-04-12,unmatched_outside_coverage,2,18411.0,0,UNMATCHED-UNIONGROOVE-20180412,,,
AMIS JUSTICE,AMISJUSTICE,2018-04-13,unmatched_outside_coverage,1,32645.0,0,UNMATCHED-AMISJUSTICE-20180413,,,
BOTTIGLIERI CHALLENGER,BOTTIGLIERICHALLENGER,2018-04-13,unmatched_outside_coverage,1,70095.0,0,UNMATCHED-BOTTIGLIERICHALLENGER-20180413,,,
TORENIA,TORENIA,2018-04-13,unmatched_outside_coverage,2,6686.0,0,UNMATCHED-TORENIA-20180413,,,
W-EAGLE,WEAGLE,2018-04-13,unmatched_outside_coverage,1,61487.0,0,UNMATCHED-WEAGLE-20180413,,,
BULK HERO,BULKHERO,2018-04-14,unmatched_outside_coverage,1,51783.0,0,UNMATCHED-BULKHERO-20180414,,,
NORD EMPEROR,NORDEMPEROR,2018-04-14,unmatched_outside_coverage,1,49830.0,0,UNMATCHED-NORDEMPEROR-20180414,,,
TORENIA,TORENIA,2018-04-14,unmatched_outside_coverage,1,9327.0,0,UNMATCHED-TORENIA-20180414,,,
UBC TAMPICO,UBCTAMPICO,2018-04-14,unmatched_outside_coverage,1,36300.0,0,UNMATCHED-UBCTAMPICO-20180414,,,
ANDREA ENTERPRISE,ANDREAENTERPRISE,2018-04-15,unmatched_outside_coverage,3,22555.0,0,UNMATCHED-ANDREAENTERPRISE-20180415,,,
GENCO OCEAN,GENCOOCEAN,2018-04-15,unmatched_outside_coverage,2,33002.0,0,UNMATCHED-GENCOOCEAN-20180415,,,
INTERLINK CELERITY,INTERLINKCELERITY,2018-04-15,unmatched_outside_coverage,1,20877.0,0,UNMATCHED-INTERLINKCELERITY-20180415,,,
ROYAL JUSTICE,ROYALJUSTICE,2018-04-15,unmatched_outside_coverage,1,7110.0,0,UNMATCHED-ROYALJUSTICE-20180415,,,
TORENIA,TORENIA,2018-04-15,unmatched_outside_coverage,2,34620.0,0,UNMATCHED-TORENIA-20180415,,,
ANDREA ENTERPRISE,ANDREAENTERPRISE,2018-04-16,unmatched_outside_coverage,1,9623.0,0,UNMATCHED-ANDREAENTERPRISE-20180416,,,
CYRENAICA G,CYRENAICAG,2018-04-16,unmatched_outside_coverage,1,53400.0,0,UNMATCHED-CYRENAICAG-20180416,,,
DESERT RHAPSODY,DESERTRHAPSODY,2018-04-16,unmatched_outside_coverage,2,40348.0,0,UNMATCHED-DESERTRHAPSODY-20180416,,,
HARVEST MOON,HARVESTMOON,2018-04-16,unmatched_outside_coverage,1,61595.0,0,UNMATCHED-HARVESTMOON-20180416,,,
PANORIA,PANORIA,2018-04-16,unmatched_outside_coverage,1,48748.0,0,UNMATCHED-PANORIA-20180416,,,
ROYAL JUSTICE,ROYALJUSTICE,2018-04-16,unmatched_outside_coverage,1,27059.0,0,UNMATCHED-ROYALJUSTICE-20180416,,,
UBC TAMPA,UBCTAMPA,2018-04-16,unmatched_outside_coverage,1,23397.0,0,UNMATCHED-UBCTAMPA-20180416,,,
FEDERAL COLUMBIA,FEDERALCOLUMBIA,2018-04-17,unmatched_outside_coverage,3,21450.0,0,UNMATCHED-FEDERALCOLUMBIA-20180417,,,
SBI URSA,SBIURSA,2018-04-17,unmatched_outside_coverage,4,52486.0,0,UNMATCHED-SBIURSA-20180417,,,
AEOLOS,AEOLOS,2018-04-18,unmatched_outside_coverage,2,56787.0,0,UNMATCHED-AEOLOS-20180418,,,
ARMIA KRAJOWA,ARMIAKRAJOWA,2018-04-18,unmatched_outside_coverage,1,29699.0,0,UNMATCHED-ARMIAKRAJOWA-20180418,,,
NORD SEOUL,NORDSEOUL,2018-04-18,unmatched_outside_coverage,1,35367.0,0,UNMATCHED-NORDSEOUL-20180418,,,
OLZA,OLZA,2018-04-18,unmatched_outside_coverage,3,12703.0,0,UNMATCHED-OLZA-20180418,,,
PORT ESTRELA,PORTESTRELA,2018-04-18,unmatched_outside_coverage,3,52167.0,0,UNMATCHED-PORTESTRELA-20180418,,,
THEBE,THEBE,2018-04-18,unmatched_outside_coverage,1,21551.0,0,UNMATCHED-THEBE-20180418,,,
UNITED HARMONY,UNITEDHARMONY,2018-04-18,unmatched_outside_coverage,1,35652.0,0,UNMATCHED-UNITEDHARMONY-20180418,,,
VOGE EMMA,VOGEEMMA,2018-04-18,unmatched_outside_coverage,1,24019.0,0,UNMATCHED-VOGEEMMA-20180418,,,
HARVEST RAIN,HARVESTRAIN,2018-04-19,unmatched_outside_coverage,1,82016.0,0,UNMATCHED-HARVESTRAIN-20180419,,,
LANNA NAREE,LANNANAREE,2018-04-19,unmatched_outside_coverage,1,32135.0,0,UNMATCHED-LANNANAREE-20180419,,,
SBI POSEIDON,SBIPOSEIDON,2018-04-19,unmatched_outside_coverage,2,43380.0,0,UNMATCHED-SBIPOSEIDON-20180419,,,
BULK ECUADOR,BULKECUADOR,2018-04-20,unmatched_outside_coverage,2,54440.0,0,UNMATCHED-BULKECUADOR-20180420,,,
